"disciplina_id","1 - as VA utilizaram slides com textos e imagens que favoreceram a aprendizagem.","2 - as VA utilizaram materiais relevantes e atualizados que geram engajamento.","3 - as VA foram objetivas e aproveitaram bem o tempo.","4 - as VA foram ministradas com boa dicção, clareza e segurança na exposição dos conteúdos.","5 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","6 - as AC favoreceram a colaboração, induzindo a troca de conhecimentos e experiências entre os alunos.","7 - as AC foram compatíveis com o tempo disponível.","8 - as AC foram relevantes para a compreensão dos conteúdos.","9 - as AC contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","10 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","11 - as AI favoreceram a sua imersão nos conteúdos, induzindo a aprendizagem autônoma.","12 - as AI foram compatíveis com o tempo disponível.","13 - as AI foram relevantes para a compreensão do conteúdo.","14 - as AI contaram com Roteiros claros e completos, incluindo Apresentação, Objetivos, Descrição e Critérios de Avaliação.","15 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","16 - os FD foram abertos com questões geradoras de discussões ricas e relevantes.","17 - os FD foram bem conduzidos e avaliados, com intervenções que proporcionaram a sua aprendizagem.","18 - os FD contaram com materiais e orientações suficientes para a sua participação.","19 - os FD foram devidamente finalizados, com destaques para os principais conteúdos e participações da turma.","20 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","21 - os WB esclareceram suas dúvidas por meio de uma interação ao vivo.","22 - os WB forneceram feedbacks sobre o andamento da disciplina e o desempenho da turma.","23 - os WB colaboraram com a sua aprendizagem.","24 - os WB desempenharam papel importante na revisão dos conteúdos para as Avaliações Presenciais.","25 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","26 - as AS contiveram questões condizentes com o conteúdo ministrado.","27 - as AS foram compatíveis com o tempo disponível.","28 - as AS priorizaram a construção do conhecimento em detrimento da memorização.","29 - as AS apresentaram níveis de dificuldade compatíveis com o nível trabalhado na disciplina.","30 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","31 - as SV disponibilizaram de forma apropriada o plano de ensino e as informações sobre conteúdos, objetivos, metodologia e critérios de avaliação da disciplina.","32 - as SV atenderam às suas necessidades de aprendizagem, apresentando um formato intuitivo e didático.","33 - as SV foram dinâmicas e devidamente atualizadas durante a disciplina.","34 - as SV viabilizam a articulação entre a teoria X prática dos conteúdos.","35 - as SV foram ambientes de interações respeitosas e éticas entre alunos e professores.","36 - as SV relacionaram os conteúdos das disciplinas com a atuação profissional.","37 - Fique à vontade para fazer críticas, sugestões ou avaliações adicionais, não contempladas nas questões acima.","polo","curso","nome"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","ANDRESSA DE SOUZA SILVA"
"","Concordo","Concordo plenamente","Concordo","Concordo","as vas são claramente abrangentes mas como toda regra tem alguns professores que deixam a desejar nas argumentações","Concordo","Concordo","Concordo","Concordo","as ACS são bem claras e exige bastante dos alunos para sua conclusão","Concordo","Concordo","Concordo","Concordo","são exigidas apenas conteúdos para melhor aprendizagem","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo plenamente","Concordo plenamente","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","sem resposta","Bocaiuva","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","ROBSON ALVES DE OLIVEIRA"
"","Concordo","Concordo","Concordo","Concordo","A o presente momento não tenho nenhuma crítica a ser feito, estou satisfeito com a plataforma e vídeo aulas.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","LUCAS GONÇALVES PEREIRA"
"","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","As VA nem sempre são explicativas ,são apenas leitura dos slides dificultando a AC pois exigem além da VA .","Discordo","Discordo totalmente","Não concordo nem discordo","Não concordo nem discordo","AC muitas vezes são enormes e nem sempre objetiva ,pois exige muitos resumos de materiais impossíveis de ler e interpretar em tão pouco tempo .","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo totalmente","Discordo totalmente","Não concordo nem discordo","Discordo","Os FD não são trabalhados com muita objetividade são um amontoado de textos retirados do material de referencia (textos enormes de difícil entendimento para tão pouco tempo de leitura) ou internet ,são várias perguntas em que muitas vezes somos duramente criticados e desmotivados ,pois chamam a atenção como se fossemos crianças que não querem aprender .Sinto desmotivada e constrangida de responder os FD .","Não concordo nem discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Discordo","Discordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","sem resposta","Buritis","[D20] - Pesquisa em Educação - Pedagogia","ERENICE DOS SANTOS RIBEIRO"
"","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Discordo","Discordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Discordo","Não concordo nem discordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","PATRICIA DA ROCHA PINHEIRO"
"","Discordo","Discordo","Discordo","Discordo","sem resposta","Discordo","Discordo totalmente","Discordo","Discordo","sem resposta","Discordo totalmente","Concordo","Discordo","Discordo","sem resposta","Discordo","Discordo","Concordo","Discordo","sem resposta","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","sem resposta","Discordo","Discordo totalmente","Discordo totalmente","Discordo","sem resposta","Discordo","Discordo totalmente","Discordo","Discordo","Concordo","Discordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","LUCÍLIA RIBEIRO DE ARAUJO"
"","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","Seria muito bom se as VA fossem ao vivo no dia de encontro presencial, abrindo assim uma maior comunicação e interação com professores.","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Não concordo nem discordo","Não concordo nem discordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Discordo totalmente","Concordo","Concordo","sem resposta","Pompéu","[D13] - Redes de Computadores I - Análise e Desenvolvimento de Sistemas","MATHEUS AUGUSTO BENFICA DE ASSIS"
"","Concordo","Concordo","Concordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","É tarefa dificil essa AC, agente faz porque é obrigatorio mais isso é um tormento para os alunos, o tempo não é suficiente, as orientações muito menos, é o pior que tem nesse curso, não dá pra compreender nada, não acrescenta nada fazer uma coisa na correria.","Concordo","Concordo","Concordo","Não concordo nem discordo","As AI ajudam muito mais devem ser mais objetivas com o conteudo da video aula, e não tão extenssas com as vezes acontece.","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Discordo","Os Foruns deveria ser bem aproveitados, acho muito confusos, muitas preguntas extensas demais, fica divicil acompanhar, e as vezes não tem muito haver com o conteudo que estamos estudando, não gosto muito, pricipalmente pois apos esforço para respoder ocorre criticas.","Discordo","Discordo","Não concordo nem discordo","Discordo","A webinar deve ser melhor aproveitada, algumas matérias nem siquer tiveram aula da webinar, eu acretido que se as tutoras fizessem um resumo seria melhor para o aluno, ao invez de ficar aguardando perguntas que nem sempre cai na prova, funciona como um resumo de prova então deve cumprir esse papel, um apanhado geral do que será cobrado na prova, provalvelmente vai ser melhor aproveitado pelos alunos.","Concordo","Concordo","Concordo","Discordo","sem resposta","Concordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","Não concordo nem discordo","As salas virtual são boas, só prcisa de ajustes, não gosto quando são bolquados espaços que deveria ser abertos, o tempos para fazer atividas tambem não deviam ser bloqueados, tenho dificuldade em aluguns partes na sala virtual.","Buritis","[D20] - Pesquisa em Educação - Pedagogia","HELIANE HELENA DOS REIS"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Várzea da Palma","[D20] - Pesquisa em Educação - Pedagogia","CRISTIANE GONÇALVES DE ANDRADE TEIXEIRA"
"","Concordo","Não concordo nem discordo","Concordo","Concordo","sem resposta","Concordo plenamente","Discordo","Concordo","Concordo","Seria bom se as questões das atividades fossem mais objetivas.","Concordo","Concordo","Concordo","Concordo","O que falta para ficar ainda melhor, é a contribuição por parte da coordenação em corrigir alguns problemas que surgem na plataforma em geral, e principalmente que atenda nossas reinvindicações, uma delas é para que sejam corrigidas as atividades individuais e colaborativas, e que seja disponibilizado as correções para que nós universitarios possamos saber onde erramos, e tambem aprimorarmos nosso conhecimento que contribuirá bastante para a realização das provas presencial ou final.","Concordo","Concordo","Concordo","Discordo","sem resposta","Discordo","Discordo","Discordo","Discordo","As WB preisam ser mais claras e objetivas, abrangendo todos os conteudos apresentados na disciplina. Algumas vezes elas deixam a desejar.","Concordo","Não concordo nem discordo","Concordo","Concordo","As avaliações precisam vir impressas com um espaço maior para as respostas das questões abertas.","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Joaíma","[D17] - Teoria e Sistemas das Organizações Assistenciais - Gestão de Saúde Pública","DAIANE DOS REIS  BARBOSA"
"","Concordo plenamente","Concordo plenamente","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Não concordo nem discordo","Concordo","Não concordo nem discordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Nova Serrana","[D20] - Pesquisa em Educação - Pedagogia","IZABEL CAMPOS FERREIRA"
"","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Não concordo nem discordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","sem resposta","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","sem resposta","Jequitinhonha","[D17] - Linguística - Letras Português","DEBORA FERREIRA DA SILVA"
